,index,id,offset,xmin,ymin,xmax,ymax,label,car_direction,car_curv,lane_Two_firstPoint,lane_Two_midPoint,lane_Two_lastPoint,lane_Three_firstPoint,lane_Three_midPoint,lane_Three_lastPoint
99,108,83,-0.337262540966908,348,622,382,669,car,F,1670.4905076755713,"601, 378","414, 549","228, 720","658, 378","813, 520","994, 661"
100,109,84,-0.1374812302356837,332,144,381,222,pottedplant,F,2416.800488313993,"601, 378","408, 549","203, 720","672, 378","813, 520","994, 661"
101,110,84,-0.1374812302356837,346,621,380,669,car,F,2416.800488313993,"601, 378","408, 549","203, 720","672, 378","813, 520","994, 661"
102,111,84,-0.1374812302356837,267,463,284,474,traffic light,F,2416.800488313993,"601, 378","408, 549","203, 720","672, 378","813, 520","994, 661"
103,112,84,-0.1374812302356837,268,394,286,404,traffic light,F,2416.800488313993,"601, 378","408, 549","203, 720","672, 378","813, 520","994, 661"
104,113,84,-0.1374812302356837,293,362,306,371,traffic light,F,2416.800488313993,"601, 378","408, 549","203, 720","672, 378","813, 520","994, 661"
105,114,85,-0.13193103603716297,345,622,380,671,car,F,2438.1732738393257,"607, 372","407, 549","203, 720","666, 372","782, 502","994, 661"
106,115,85,-0.13193103603716297,266,392,283,402,traffic light,F,2438.1732738393257,"607, 372","407, 549","203, 720","666, 372","782, 502","994, 661"
107,116,85,-0.13193103603716297,331,143,381,217,pottedplant,F,2438.1732738393257,"607, 372","407, 549","203, 720","666, 372","782, 502","994, 661"
108,117,85,-0.13193103603716297,292,361,305,370,traffic light,F,2438.1732738393257,"607, 372","407, 549","203, 720","666, 372","782, 502","994, 661"
109,118,86,-0.32752840166115677,343,621,379,670,car,F,4006.619302021245,"606, 372","406, 549","202, 720","666, 372","813, 520","994, 661"
110,119,86,-0.32752840166115677,264,387,280,398,traffic light,F,4006.619302021245,"606, 372","406, 549","202, 720","666, 372","813, 520","994, 661"
111,120,86,-0.32752840166115677,262,460,277,469,traffic light,F,4006.619302021245,"606, 372","406, 549","202, 720","666, 372","813, 520","994, 661"
112,121,86,-0.32752840166115677,328,136,379,205,pottedplant,F,4006.619302021245,"606, 372","406, 549","202, 720","666, 372","813, 520","994, 661"
113,122,86,-0.32752840166115677,290,357,302,365,traffic light,F,4006.619302021245,"606, 372","406, 549","202, 720","666, 372","813, 520","994, 661"
114,123,87,-0.216445994282564,327,125,378,202,pottedplant,F,1972.2437529738188,"602, 372","402, 549","202, 720","666, 372","813, 520","994, 661"
115,124,87,-0.216445994282564,342,622,378,671,car,F,1972.2437529738188,"602, 372","402, 549","202, 720","666, 372","813, 520","994, 661"
116,125,87,-0.216445994282564,262,384,278,394,traffic light,F,1972.2437529738188,"602, 372","402, 549","202, 720","666, 372","813, 520","994, 661"
117,126,87,-0.216445994282564,259,459,276,468,traffic light,F,1972.2437529738188,"602, 372","402, 549","202, 720","666, 372","813, 520","994, 661"
118,127,87,-0.216445994282564,265,306,280,316,traffic light,F,1972.2437529738188,"602, 372","402, 549","202, 720","666, 372","813, 520","994, 661"
119,128,88,-0.2330139678619617,341,622,377,672,car,F,2141.487028177054,"602, 372","402, 549","202, 720","666, 372","806, 514","994, 661"
120,129,88,-0.2330139678619617,259,300,278,312,traffic light,F,2141.487028177054,"602, 372","402, 549","202, 720","666, 372","806, 514","994, 661"
121,130,88,-0.2330139678619617,257,437,270,450,traffic light,F,2141.487028177054,"602, 372","402, 549","202, 720","666, 372","806, 514","994, 661"
122,131,89,-0.03713951773026347,340,623,377,674,car,F,1809.761848992131,"602, 372","402, 549","202, 720","666, 372","794, 502","929, 655"
123,132,90,-0.036790039974604054,339,623,376,675,car,F,2182.9682842625934,"602, 372","406, 549","208, 720","666, 372","794, 502","993, 661"
124,133,90,-0.036790039974604054,252,451,271,460,traffic light,F,2182.9682842625934,"602, 372","406, 549","208, 720","666, 372","794, 502","993, 661"
125,134,90,-0.036790039974604054,256,373,272,382,traffic light,F,2182.9682842625934,"602, 372","406, 549","208, 720","666, 372","794, 502","993, 661"
126,135,90,-0.036790039974604054,260,290,274,300,traffic light,F,2182.9682842625934,"602, 372","406, 549","208, 720","666, 372","794, 502","993, 661"
127,136,91,-0.08249204493356681,339,623,377,676,car,F,2875.7977733096504,"603, 372","407, 549","209, 720","666, 372","812, 508","993, 661"
128,137,91,-0.08249204493356681,250,448,269,458,traffic light,F,2875.7977733096504,"603, 372","407, 549","209, 720","666, 372","812, 508","993, 661"
129,138,91,-0.08249204493356681,255,284,272,295,traffic light,F,2875.7977733096504,"603, 372","407, 549","209, 720","666, 372","812, 508","993, 661"
130,139,91,-0.08249204493356681,256,369,271,378,traffic light,F,2875.7977733096504,"603, 372","407, 549","209, 720","666, 372","812, 508","993, 661"
131,140,91,-0.08249204493356681,324,81,380,160,pottedplant,F,2875.7977733096504,"603, 372","407, 549","209, 720","666, 372","812, 508","993, 661"
132,141,92,-0.05377133777440274,339,623,377,677,car,F,2617.5490583379747,"603, 372","409, 549","227, 720","666, 372","833, 490","948, 620"
133,142,92,-0.05377133777440274,252,276,269,286,traffic light,F,2617.5490583379747,"603, 372","409, 549","227, 720","666, 372","833, 490","948, 620"
134,143,93,0.03585761654845506,339,624,377,678,car,F,8177.144812765402,"606, 372","414, 549","227, 720","666, 372","833, 490","948, 620"
135,144,93,0.03585761654845506,252,272,269,283,traffic light,F,8177.144812765402,"606, 372","414, 549","227, 720","666, 372","833, 490","948, 620"
136,145,94,-0.06422353739800053,340,625,378,680,car,F,8441.14252453835,"607, 372","425, 549","241, 720","665, 372","826, 520","993, 661"
137,146,94,-0.06422353739800053,248,263,268,275,traffic light,F,8441.14252453835,"607, 372","425, 549","241, 720","665, 372","826, 520","993, 661"
138,150,96,-0.08849722398986125,339,625,379,681,car,F,5438.073986979451,"607, 372","421, 549","240, 720","666, 372","814, 520","993, 661"
139,151,96,-0.08849722398986125,240,433,260,443,traffic light,F,5438.073986979451,"607, 372","421, 549","240, 720","666, 372","814, 520","993, 661"
140,152,97,-0.06456954517782147,339,626,380,683,car,F,2975.682438020504,"608, 372","421, 549","240, 720","672, 378","826, 520","993, 661"
141,153,97,-0.06456954517782147,245,245,263,257,traffic light,F,2975.682438020504,"608, 372","421, 549","240, 720","672, 378","826, 520","993, 661"
142,154,97,-0.06456954517782147,238,429,259,440,traffic light,F,2975.682438020504,"608, 372","421, 549","240, 720","672, 378","826, 520","993, 661"
143,155,97,-0.06456954517782147,322,0,385,105,pottedplant,F,2975.682438020504,"608, 372","421, 549","240, 720","672, 378","826, 520","993, 661"
144,156,98,0.06242957672933383,339,627,381,687,car,F,1871.7190154080683,"608, 372","421, 549","240, 720","672, 378","794, 496","935, 608"
145,157,98,0.06242957672933383,235,425,257,436,traffic light,F,1871.7190154080683,"608, 372","421, 549","240, 720","672, 378","794, 496","935, 608"
146,158,98,0.06242957672933383,242,235,261,247,traffic light,F,1871.7190154080683,"608, 372","421, 549","240, 720","672, 378","794, 496","935, 608"
147,159,98,0.06242957672933383,288,566,299,571,traffic light,F,1871.7190154080683,"608, 372","421, 549","240, 720","672, 378","794, 496","935, 608"
148,160,98,0.06242957672933383,286,706,312,717,traffic light,F,1871.7190154080683,"608, 372","421, 549","240, 720","672, 378","794, 496","935, 608"
149,161,99,-0.02667437813398719,339,627,381,686,car,F,1985.9465352655639,"602, 378","426, 549","240, 720","671, 378","814, 520","993, 661"
150,162,99,-0.02667437813398719,233,423,254,434,traffic light,F,1985.9465352655639,"602, 378","426, 549","240, 720","671, 378","814, 520","993, 661"
151,163,99,-0.02667437813398719,288,566,300,571,traffic light,F,1985.9465352655639,"602, 378","426, 549","240, 720","671, 378","814, 520","993, 661"
152,164,99,-0.02667437813398719,326,1,388,85,pottedplant,F,1985.9465352655639,"602, 378","426, 549","240, 720","671, 378","814, 520","993, 661"
153,165,99,-0.02667437813398719,241,230,260,242,traffic light,F,1985.9465352655639,"602, 378","426, 549","240, 720","671, 378","814, 520","993, 661"
154,166,100,-0.14189799638366746,339,628,381,688,car,F,2911.355549749179,"609, 372","422, 549","228, 720","671, 378","813, 520","993, 661"
155,167,100,-0.14189799638366746,230,417,253,429,traffic light,F,2911.355549749179,"609, 372","422, 549","228, 720","671, 378","813, 520","993, 661"
156,168,100,-0.14189799638366746,327,0,388,63,pottedplant,F,2911.355549749179,"609, 372","422, 549","228, 720","671, 378","813, 520","993, 661"
157,169,100,-0.14189799638366746,288,567,300,573,traffic light,F,2911.355549749179,"609, 372","422, 549","228, 720","671, 378","813, 520","993, 661"
158,170,101,-0.10488213643876214,339,629,383,690,car,F,3320.7503828154504,"612, 372","422, 549","228, 720","665, 372","813, 520","993, 661"
159,171,101,-0.10488213643876214,228,413,250,425,traffic light,F,3320.7503828154504,"612, 372","422, 549","228, 720","665, 372","813, 520","993, 661"
160,172,101,-0.10488213643876214,325,0,390,47,pottedplant,F,3320.7503828154504,"612, 372","422, 549","228, 720","665, 372","813, 520","993, 661"
161,173,101,-0.10488213643876214,234,210,255,223,traffic light,F,3320.7503828154504,"612, 372","422, 549","228, 720","665, 372","813, 520","993, 661"
162,174,101,-0.10488213643876214,289,611,299,617,traffic light,F,3320.7503828154504,"612, 372","422, 549","228, 720","665, 372","813, 520","993, 661"
163,175,101,-0.10488213643876214,287,566,298,572,traffic light,F,3320.7503828154504,"612, 372","422, 549","228, 720","665, 372","813, 520","993, 661"
164,176,102,-0.031507750840665545,338,630,383,692,car,F,3222.238035426816,"612, 372","426, 549","239, 720","659, 378","813, 520","994, 661"
165,177,102,-0.031507750840665545,232,200,253,215,traffic light,F,3222.238035426816,"612, 372","426, 549","239, 720","659, 378","813, 520","994, 661"
166,178,102,-0.031507750840665545,288,612,299,619,traffic light,F,3222.238035426816,"612, 372","426, 549","239, 720","659, 378","813, 520","994, 661"
167,179,102,-0.031507750840665545,287,566,297,572,traffic light,F,3222.238035426816,"612, 372","426, 549","239, 720","659, 378","813, 520","994, 661"
168,180,103,-0.060432430174308945,338,629,384,692,car,F,3428.199578878557,"612, 372","426, 549","240, 720","671, 378","826, 520","994, 661"
169,181,103,-0.060432430174308945,221,405,245,417,traffic light,F,3428.199578878557,"612, 372","426, 549","240, 720","671, 378","826, 520","994, 661"
170,182,103,-0.060432430174308945,288,612,299,620,traffic light,F,3428.199578878557,"612, 372","426, 549","240, 720","671, 378","826, 520","994, 661"
171,183,104,-0.12929388226106553,338,630,384,695,car,F,3044.0270717588774,"613, 372","428, 549","240, 720","659, 378","813, 520","993, 661"
172,184,104,-0.12929388226106553,218,399,242,412,traffic light,F,3044.0270717588774,"613, 372","428, 549","240, 720","659, 378","813, 520","993, 661"
173,185,104,-0.12929388226106553,287,612,297,620,traffic light,F,3044.0270717588774,"613, 372","428, 549","240, 720","659, 378","813, 520","993, 661"
174,186,105,-0.25963656130350765,338,631,385,697,car,F,5884.867900302831,"613, 372","429, 549","241, 720","664, 372","846, 543","967, 720"
175,187,105,-0.25963656130350765,217,396,241,409,traffic light,F,5884.867900302831,"613, 372","429, 549","241, 720","664, 372","846, 543","967, 720"
176,188,105,-0.25963656130350765,222,175,246,190,traffic light,F,5884.867900302831,"613, 372","429, 549","241, 720","664, 372","846, 543","967, 720"
177,189,105,-0.25963656130350765,287,613,298,620,traffic light,F,5884.867900302831,"613, 372","429, 549","241, 720","664, 372","846, 543","967, 720"
178,190,106,-0.17999853244884034,212,390,238,403,traffic light,F,4437.373953514159,"614, 372","434, 549","259, 720","665, 372","839, 537","987, 714"
179,191,106,-0.17999853244884034,338,631,387,698,car,F,4437.373953514159,"614, 372","434, 549","259, 720","665, 372","839, 537","987, 714"
180,192,106,-0.17999853244884034,220,163,244,178,traffic light,F,4437.373953514159,"614, 372","434, 549","259, 720","665, 372","839, 537","987, 714"
181,193,106,-0.17999853244884034,214,363,234,382,traffic light,F,4437.373953514159,"614, 372","434, 549","259, 720","665, 372","839, 537","987, 714"
182,194,106,-0.17999853244884034,286,614,298,621,traffic light,F,4437.373953514159,"614, 372","434, 549","259, 720","665, 372","839, 537","987, 714"
183,195,106,-0.17999853244884034,294,766,309,777,traffic light,F,4437.373953514159,"614, 372","434, 549","259, 720","665, 372","839, 537","987, 714"
184,196,107,-0.02139763851151757,338,631,388,698,car,F,5350.355816905414,"614, 372","440, 549","260, 720","665, 372","825, 520","994, 661"
185,197,107,-0.02139763851151757,209,386,235,398,traffic light,F,5350.355816905414,"614, 372","440, 549","260, 720","665, 372","825, 520","994, 661"
186,198,107,-0.02139763851151757,213,271,239,286,traffic light,F,5350.355816905414,"614, 372","440, 549","260, 720","665, 372","825, 520","994, 661"
187,199,107,-0.02139763851151757,220,152,241,168,traffic light,F,5350.355816905414,"614, 372","440, 549","260, 720","665, 372","825, 520","994, 661"
188,205,109,0.16805982211100287,337,631,388,702,car,F,8297.519900622372,"613, 372","440, 549","260, 720","666, 372","787, 490","994, 602"
189,206,109,0.16805982211100287,202,251,229,266,traffic light,F,8297.519900622372,"613, 372","440, 549","260, 720","666, 372","787, 490","994, 602"
190,207,109,0.16805982211100287,199,371,227,385,traffic light,F,8297.519900622372,"613, 372","440, 549","260, 720","666, 372","787, 490","994, 602"
191,208,109,0.16805982211100287,205,123,230,142,traffic light,F,8297.519900622372,"613, 372","440, 549","260, 720","666, 372","787, 490","994, 602"
192,209,109,0.16805982211100287,283,614,296,621,traffic light,F,8297.519900622372,"613, 372","440, 549","260, 720","666, 372","787, 490","994, 602"
193,210,110,0.1768134609235027,193,363,222,376,traffic light,F,4941.741227605419,"612, 372","435, 549","260, 720","671, 378","787, 490","981, 596"
194,211,110,0.1768134609235027,195,236,223,253,traffic light,F,4941.741227605419,"612, 372","435, 549","260, 720","671, 378","787, 490","981, 596"
